,操作年份,操作月份,发生金额
0,2015,201508,-200.0
1,2015,201508,-1500.0
2,2015,201509,-800.0
3,2015,201509,-700.0
4,2015,201509,-800.0
5,2015,201509,-1100.0
6,2015,201510,-800.0
7,2015,201510,-600.0
8,2015,201510,-300.0
9,2015,201511,-1200.0
10,2015,201511,-500.0
11,2015,201511,-600.0
12,2015,201511,-600.0
13,2015,201512,-700.0
14,2015,201512,-600.0
15,2015,201512,-500.0
16,2015,201512,-400.0
17,2015,201512,-500.0
18,2016,201601,-600.0
19,2016,201601,-1100.0
20,2016,201601,-1300.0
21,2016,201601,-1500.0
22,2016,201602,-1600.0
23,2016,201602,-1500.0
24,2016,201602,-1500.0
25,2016,201603,-1300.0
26,2016,201603,-600.0
27,2016,201603,-800.0
28,2016,201603,-800.0
29,2016,201603,-700.0
30,2016,201604,-1200.0
31,2016,201604,-1100.0
32,2016,201604,-1000.0
33,2016,201604,-1100.0
34,2016,201605,-1500.0
35,2016,201605,-1600.0
36,2016,201605,-1400.0
37,2016,201605,-1300.0
38,2016,201606,-1200.0
39,2016,201606,-1100.0
40,2016,201606,-1000.0
41,2016,201606,-1000.0
42,2016,201607,-700.0
43,2016,201607,-700.0
44,2016,201607,-800.0
45,2016,201607,-700.0
46,2016,201608,-600.0
47,2016,201608,-500.0
48,2016,201608,-400.0
49,2016,201608,-100.0
50,2016,201608,-100.0
51,2016,201609,-700.0
52,2016,201609,-700.0
53,2016,201609,-600.0
54,2016,201609,-600.0
55,2016,201610,-600.0
56,2016,201610,-700.0
57,2016,201610,-500.0
58,2016,201611,-900.0
59,2016,201611,-900.0
60,2016,201611,-900.0
61,2016,201611,-800.0
62,2016,201612,-700.0
63,2016,201612,-600.0
64,2016,201612,-800.0
65,2016,201612,-800.0
66,2016,201612,-800.0
67,2017,201701,-700.0
68,2017,201701,-600.0
69,2017,201701,-600.0
70,2017,201702,-400.0
71,2017,201702,-300.0
72,2017,201702,-200.0
73,2017,201702,-100.0
74,2017,201703,-200.0
75,2017,201703,0.0
76,2017,201703,0.0
77,2017,201703,0.0
78,2017,201703,100.0
79,2017,201704,100.0
80,2017,201704,100.0
81,2017,201704,200.0
82,2017,201705,-100.0
83,2017,201705,0.0
84,2017,201705,200.0
85,2017,201705,400.0
86,2017,201706,800.0
87,2017,201706,600.0
88,2017,201706,400.0
89,2017,201706,600.0
90,2017,201706,800.0
91,2017,201707,700.0
92,2017,201707,1100.0
93,2017,201707,1400.0
94,2017,201707,1800.0
95,2017,201708,2000.0
96,2017,201708,1800.0
97,2017,201708,1900.0
98,2017,201708,2900.0
99,2017,201709,1800.0
100,2017,201709,2000.0
101,2017,201709,1800.0
102,2017,201709,2200.0
103,2017,201709,2200.0
104,2017,201710,2500.0
105,2017,201710,2700.0
106,2017,201710,2500.0
107,2017,201711,1900.0
108,2017,201711,1400.0
109,2017,201711,1800.0
110,2017,201711,1900.0
111,2017,201712,1500.0
112,2017,201712,1500.0
113,2017,201712,1500.0
114,2017,201712,1600.0
115,2017,201712,2100.0
116,2018,201801,1900.0
117,2018,201801,2500.0
118,2018,201801,3700.0
119,2018,201801,4200.0
120,2018,201802,4700.0
121,2018,201802,2700.0
122,2018,201802,3500.0
123,2018,201803,2700.0
124,2018,201803,2400.0
125,2018,201803,2300.0
126,2018,201803,1600.0
127,2018,201804,1300.0
128,2018,201804,235.46
129,2018,201804,0.1
130,2018,201804,0.1
131,2018,201805,0.1
132,2018,201805,0.1
133,2018,201805,0.1
134,2018,201805,0.1
135,2018,201806,0.1
136,2018,201806,0.1
137,2018,201806,0.1
138,2018,201806,0.1
139,2018,201807,-400.0
140,2018,201807,300.0
141,2018,201807,128.19
142,2018,201807,0.1
143,2018,201807,0.1
144,2018,201808,0.1
145,2018,201808,0.1
146,2018,201808,0.1
147,2018,201808,0.1
148,2018,201809,0.1
149,2018,201809,0.1
150,2018,201809,0.1
151,2018,201809,0.1
152,2018,201810,0.1
153,2018,201810,0.1
154,2018,201810,0.1
155,2018,201810,0.1
156,2018,201811,0.0
157,2018,201811,-200.0
158,2018,201811,-300.0
159,2018,201811,-300.0
160,2018,201812,-100.0
161,2018,201812,-200.0
162,2018,201812,-200.0
163,2018,201812,-400.0
164,2019,201901,-400.0
165,2019,201901,-300.0
166,2019,201901,-200.0
167,2019,201901,100.0
168,2019,201901,500.0
169,2019,201902,400.0
170,2019,201902,300.0
171,2019,201902,700.0
172,2019,201903,700.0
173,2019,201903,95.83999999999999
174,2019,201903,0.1
175,2019,201903,0.1
176,2019,201904,0.1
177,2019,201904,0.1
178,2019,201904,0.1
179,2019,201904,0.1
180,2019,201905,0.0
181,2019,201905,-100.0
182,2019,201905,100.0
183,2019,201905,1.54
184,2019,201906,0.1
185,2019,201906,0.1
186,2019,201906,0.1
187,2019,201906,0.1
188,2019,201907,0.1
189,2019,201907,0.1
190,2019,201907,0.1
191,2019,201907,0.1
192,2019,201908,0.1
193,2019,201908,0.1
194,2019,201908,0.1
195,2019,201908,0.1
196,2019,201908,0.1
197,2019,201909,0.1
198,2019,201909,0.1
199,2019,201909,0.1
200,2019,201909,0.1
201,2019,201910,0.1
202,2019,201910,0.1
203,2019,201910,0.1
204,2019,201911,0.1
205,2019,201911,0.0
