,操作日期,PB-PB*,本次单价,本次买入金额,本次卖出金额,累计买入金额,累计卖出金额,股票剩余资产
0,20151120,-0.05,0.889,5100.0,0.0,5100.0,0.0,5100.0
1,20151222,0.025,0.958,0.0,2500.0,5100.0,2500.0,2995.84
2,20160122,-0.15,0.85,15000.0,0.0,20100.0,2500.0,17658.1
3,20160301,-0.08,0.843,7800.0,0.0,27900.0,2500.0,25312.68
4,20160331,-0.01,0.911,600.0,0.0,28500.0,2500.0,27954.51
5,20160504,0.001,0.938,0.0,100.0,28500.0,2600.0,28683.02
6,20160603,-0.01,0.899,500.0,0.0,29000.0,2600.0,27990.44
7,20160707,0.028,0.896,0.0,2800.0,29000.0,5400.0,25097.04
8,20160808,0.094,0.923,0.0,9400.0,29000.0,14800.0,16453.31
9,20160907,0.068,0.933,0.0,6800.0,29000.0,21600.0,9831.57
10,20161018,0.082,0.927,0.0,8200.0,29000.0,29800.0,1568.34
11,20170329,-0.01,0.852,800.0,0.0,29800.0,29800.0,2241.46
12,20170503,-0.12,0.778,12200.0,0.0,42000.0,29800.0,14246.78
13,20170606,-0.08,0.793,7600.0,0.0,49600.0,29800.0,22121.46
14,20170706,-0.03,0.806,2800.0,0.0,52400.0,29800.0,25284.1
15,20170807,0.037,0.857,0.0,3700.0,52400.0,33500.0,23183.97
16,20170906,-0.0,0.834,100.0,0.0,52500.0,33500.0,22661.76
17,20171013,0.012,0.817,0.0,1200.0,52500.0,34700.0,20999.83
18,20171114,0.033,0.844,0.0,3300.0,52500.0,38000.0,18393.83
19,20171214,0.05,0.851,0.0,5000.0,52500.0,43000.0,13546.38
20,20180116,0.098,0.888,0.0,9800.0,52500.0,52800.0,4335.35
21,20180326,0.035,0.796,0.0,3500.0,52500.0,56300.0,386.2
22,20180427,0.003,0.772,0.0,300.0,52500.0,56600.0,74.55
23,20180703,-0.06,0.687,6200.0,0.0,58700.0,56600.0,6266.34
24,20180802,-0.03,0.583,3300.0,0.0,62000.0,56600.0,8617.73
25,20180903,-0.02,0.598,1800.0,0.0,63800.0,56600.0,10639.45
26,20181011,-0.01,0.596,1000.0,0.0,64800.0,56600.0,11603.87
27,20181112,0.006,0.62,0.0,600.0,64800.0,57200.0,11471.14
28,20181212,-0.01,0.599,700.0,0.0,65500.0,57200.0,11782.6
29,20190115,-0.01,0.579,900.0,0.0,66400.0,57200.0,12289.19
30,20190221,0.02,0.6,0.0,2000.0,66400.0,59200.0,10734.91
31,20190325,0.071,0.629,0.0,7100.0,66400.0,66300.0,4153.77
