,trade_date,pe,pe*,pb,pb*
0,20171106,15.67,16.18,1.7,1.73
1,20171107,15.82,15.5,1.71,1.66
2,20171108,15.83,14.83,1.71,1.59
3,20171109,15.87,14.16,1.71,1.52
4,20171110,15.89,13.49,1.72,1.45
5,20171113,15.97,12.81,1.72,1.37
6,20171114,15.9,12.13,1.72,1.3
7,20171115,15.78,11.44,1.7,1.23
8,20171116,15.77,10.76,1.7,1.16
9,20171117,15.76,10.08,1.7,1.08
10,20171120,15.83,9.4,1.71,1.01
11,20171121,15.91,8.72,1.72,0.94
12,20171122,16.04,8.04,1.73,0.86
13,20171123,15.69,7.36,1.69,0.79
14,20171124,15.7,6.68,1.69,0.72
15,20171127,15.55,6.0,1.68,0.65
16,20171128,15.57,5.32,1.68,0.57
17,20171129,15.6,4.63,1.68,0.5
18,20171130,15.5,3.95,1.67,0.43
19,20171201,15.49,3.28,1.67,0.35
20,20171204,15.47,2.61,1.67,0.28
21,20171205,15.49,1.96,1.67,0.21
22,20171206,15.44,1.3,1.66,0.14
23,20171207,15.32,0.65,1.65,0.07
24,20171208,15.4,0.0,1.66,0.0
25,20171211,15.54,0.0,1.68,0.0
26,20171212,15.34,0.0,1.65,0.0
27,20171213,15.45,0.0,1.67,0.0
28,20171214,15.41,0.0,1.66,0.0
29,20171215,15.3,0.0,1.65,0.0
30,20171218,15.32,0.0,1.65,0.0
31,20171219,15.48,0.0,1.67,0.0
32,20171220,15.45,0.0,1.66,0.0
33,20171221,15.5,0.0,1.67,0.0
34,20171222,15.49,0.0,1.67,0.0
35,20171225,15.44,0.0,1.66,0.0
36,20171226,15.58,0.0,1.68,0.0
37,20171227,15.43,0.0,1.66,0.0
38,20171228,15.54,0.0,1.67,0.0
39,20171229,15.64,0.0,1.68,0.0
40,20180102,15.85,0.0,1.7,0.0
41,20180103,15.93,0.0,1.71,0.0
42,20180104,15.99,0.0,1.72,0.0
43,20180105,16.02,0.0,1.72,0.0
44,20180108,16.09,0.0,1.73,0.0
45,20180109,16.11,0.0,1.73,0.0
46,20180110,16.17,0.0,1.73,0.0
47,20180111,16.19,0.0,1.73,0.0
48,20180112,16.22,0.0,1.74,0.0
49,20180115,16.15,0.0,1.73,0.0
50,20180116,16.27,0.0,1.75,0.0
51,20180117,16.33,0.0,1.75,0.0
52,20180118,16.53,0.0,1.77,0.0
53,20180119,16.6,0.0,1.78,0.0
54,20180122,16.65,0.0,1.78,0.0
55,20180123,16.94,0.0,1.81,0.0
56,20180124,16.97,0.0,1.82,0.0
57,20180125,16.89,0.0,1.81,0.0
58,20180126,16.95,0.0,1.81,0.0
59,20180129,16.78,0.0,1.8,0.0
60,20180130,16.6,0.0,1.78,0.0
61,20180131,16.61,0.0,1.78,0.0
62,20180201,16.5,0.0,1.77,0.0
63,20180202,16.57,0.0,1.78,0.0
64,20180205,16.73,0.0,1.79,0.0
65,20180206,16.18,0.0,1.73,0.0
66,20180207,15.83,0.0,1.7,0.0
67,20180208,15.55,0.0,1.67,0.0
68,20180209,14.93,0.0,1.6,0.0
69,20180212,15.01,0.0,1.61,0.0
70,20180213,15.15,0.0,1.63,0.0
71,20180214,15.2,0.0,1.63,0.0
72,20180222,15.55,0.0,1.67,0.0
73,20180223,15.65,0.0,1.68,0.0
74,20180226,15.81,0.0,1.7,0.0
75,20180227,15.6,0.0,1.68,0.0
76,20180228,15.57,0.0,1.67,0.0
77,20180301,15.62,0.0,1.68,0.0
78,20180302,15.52,0.0,1.67,0.0
79,20180305,15.54,0.0,1.67,0.0
80,20180306,15.68,0.0,1.68,0.0
81,20180307,15.62,0.0,1.68,0.0
82,20180308,15.69,0.0,1.68,0.0
83,20180309,15.77,0.0,1.69,0.0
84,20180312,15.85,0.0,1.7,0.0
85,20180313,15.74,0.0,1.69,0.0
86,20180314,15.65,0.0,1.67,0.0
87,20180315,15.65,0.0,1.68,0.0
88,20180316,15.53,0.0,1.66,0.0
89,20180319,15.59,0.0,1.67,0.0
90,20180320,15.64,0.0,1.68,0.0
91,20180321,15.49,0.0,1.67,0.0
92,20180322,15.4,0.0,1.66,0.0
93,20180323,14.86,0.0,1.61,0.0
94,20180326,14.71,0.0,1.59,0.0
95,20180327,14.83,0.0,1.61,0.0
96,20180328,14.56,0.0,1.58,0.0
97,20180329,14.76,0.0,1.6,0.0
98,20180330,14.72,0.0,1.6,0.0
99,20180402,14.63,0.0,1.59,0.0
100,20180403,14.51,0.0,1.58,0.0
101,20180404,14.46,0.0,1.58,0.0
102,20180409,14.54,0.0,1.58,0.0
103,20180410,14.8,0.0,1.61,0.0
104,20180411,14.88,0.0,1.62,0.0
105,20180412,14.72,0.0,1.61,0.0
106,20180413,14.62,0.0,1.59,0.0
107,20180416,14.35,0.0,1.57,0.0
108,20180417,14.15,0.0,1.54,0.0
109,20180418,14.26,0.0,1.56,0.0
110,20180419,14.36,0.0,1.57,0.0
111,20180420,14.14,0.0,1.55,0.0
112,20180423,14.11,0.0,1.55,0.0
113,20180424,14.37,0.0,1.58,0.0
114,20180425,14.31,0.0,1.57,0.0
115,20180426,14.05,0.0,1.54,0.0
116,20180427,13.96,0.0,1.54,0.0
117,20180502,13.83,0.0,1.52,0.0
118,20180503,13.91,0.0,1.53,0.0
119,20180504,13.86,0.0,1.52,0.0
120,20180507,14.05,0.0,1.54,0.0
121,20180508,14.18,0.0,1.56,0.0
122,20180509,14.18,0.0,1.56,0.0
123,20180510,14.24,0.0,1.57,0.0
124,20180511,14.21,0.0,1.56,0.0
125,20180514,14.27,0.0,1.57,0.0
126,20180515,14.34,0.0,1.58,0.0
127,20180516,14.22,0.0,1.56,0.0
128,20180517,14.15,0.0,1.56,0.0
129,20180518,14.34,0.0,1.58,0.0
130,20180521,14.42,0.0,1.59,0.0
131,20180522,14.42,0.0,1.59,0.0
132,20180523,14.21,0.0,1.56,0.0
133,20180524,14.14,0.0,1.56,0.0
134,20180525,14.09,0.0,1.55,0.0
135,20180528,14.07,0.0,1.55,0.0
136,20180529,13.99,0.0,1.54,0.0
137,20180530,13.63,0.0,1.51,0.0
138,20180531,13.87,0.0,1.53,0.0
139,20180601,13.78,0.0,1.52,0.0
140,20180604,13.87,0.0,1.53,0.0
141,20180605,13.96,0.0,1.54,0.0
142,20180606,13.95,0.0,1.54,0.0
143,20180607,13.94,0.0,1.54,0.0
144,20180608,13.74,0.0,1.52,0.0
145,20180611,13.69,0.0,1.52,0.0
146,20180612,13.81,0.0,1.53,0.0
147,20180613,13.69,0.0,1.52,0.0
148,20180614,13.68,0.0,1.52,0.0
149,20180615,13.61,0.0,1.51,0.0
150,20180619,13.14,0.0,1.46,0.0
151,20180620,13.15,0.0,1.46,0.0
152,20180621,12.98,0.0,1.45,0.0
153,20180622,13.04,0.0,1.45,0.0
154,20180625,12.94,0.0,1.45,0.0
155,20180626,12.86,0.0,1.44,0.0
156,20180627,12.71,0.0,1.42,0.0
157,20180628,12.59,0.0,1.41,0.0
158,20180629,12.87,0.0,1.44,0.0
159,20180702,12.51,0.0,1.4,0.0
160,20180703,12.57,0.0,1.41,0.0
161,20180704,12.5,0.0,1.39,0.0
162,20180705,12.42,0.0,1.39,0.0
163,20180706,12.48,0.0,1.39,0.0
164,20180709,12.81,0.0,1.43,0.0
165,20180710,12.86,0.0,1.44,0.0
166,20180711,12.65,0.0,1.41,0.0
167,20180712,12.93,0.0,1.45,0.0
168,20180713,12.89,0.0,1.45,0.0
169,20180716,12.79,0.0,1.44,0.0
170,20180717,12.69,0.0,1.44,0.0
171,20180718,12.64,0.0,1.43,0.0
172,20180719,12.58,0.0,1.42,0.0
173,20180720,12.88,0.0,1.46,0.0
174,20180723,13.02,0.0,1.48,0.0
175,20180724,13.22,0.0,1.5,0.0
176,20180725,13.2,0.0,1.5,0.0
177,20180726,13.1,0.0,1.49,0.0
178,20180727,13.06,0.0,1.48,0.0
179,20180730,13.07,0.0,1.48,0.0
180,20180731,13.1,0.0,1.49,0.0
181,20180801,12.85,0.0,1.46,0.0
182,20180802,12.59,0.0,1.43,0.0
183,20180803,12.49,0.0,1.42,0.0
184,20180806,12.36,0.0,1.4,0.0
185,20180807,12.68,0.0,1.44,0.0
186,20180808,12.52,0.0,1.42,0.0
187,20180809,12.74,0.0,1.45,0.0
188,20180810,12.72,0.0,1.45,0.0
189,20180813,12.65,0.0,1.44,0.0
190,20180814,12.63,0.0,1.44,0.0
191,20180815,12.36,0.0,1.41,0.0
192,20180816,12.28,0.0,1.4,0.0
193,20180817,12.11,0.0,1.38,0.0
194,20180820,12.26,0.0,1.4,0.0
195,20180821,12.4,0.0,1.41,0.0
196,20180822,12.25,0.0,1.4,0.0
197,20180823,12.27,0.0,1.41,0.0
198,20180824,12.32,0.0,1.41,0.0
199,20180827,12.47,0.0,1.43,0.0
200,20180828,12.43,0.0,1.43,0.0
